source_id,target_id,value
1,1,0
1,2,35
1,3,3
1,4,66
1,5,28
1,6,5
1,7,5
1,8,9
1,9,6
1,10,5
1,11,29
1,12,4
1,13,14
1,14,11
1,15,6
1,16,39
1,17,3
1,18,17
1,19,1
1,20,1
2,1,35
2,2,0
2,3,16
2,4,150
2,5,62
2,6,16
2,7,15
2,8,23
2,9,21
2,10,14
2,11,66
2,12,8
2,13,46
2,14,58
2,15,20
2,16,95
2,17,6
2,18,57
2,19,2
2,20,2
3,1,3
3,2,16
3,3,0
3,4,49
3,5,5
3,6,4
3,7,6
3,8,15
3,9,14
3,10,5
3,11,18
3,12,0
3,13,42
3,14,26
3,15,12
3,16,17
3,17,6
3,18,23
3,19,2
3,20,2
4,1,66
4,2,150
4,3,49
4,4,0
4,5,104
4,6,32
4,7,33
4,8,48
4,9,43
4,10,37
4,11,163
4,12,12
4,13,275
4,14,91
4,15,48
4,16,117
4,17,54
4,18,141
4,19,18
4,20,18
5,1,28
5,2,62
5,3,5
5,4,104
5,5,0
5,6,7
5,7,8
5,8,15
5,9,13
5,10,9
5,11,52
5,12,7
5,13,18
5,14,33
5,15,14
5,16,64
5,17,0
5,18,28
5,19,0
5,20,0
6,1,5
6,2,16
6,3,4
6,4,32
6,5,7
6,6,0
6,7,3
6,8,4
6,9,4
6,10,3
6,11,11
6,12,1
6,13,16
6,14,9
6,15,4
6,16,14
6,17,3
6,18,13
6,19,1
6,20,1
7,1,5
7,2,15
7,3,6
7,4,33
7,5,8
7,6,3
7,7,0
7,8,7
7,9,7
7,10,3
7,11,13
7,12,1
7,13,18
7,14,12
7,15,5
7,16,14
7,17,3
7,18,14
7,19,1
7,20,1
8,1,9
8,2,23
8,3,15
8,4,48
8,5,15
8,6,4
8,7,7
8,8,0
8,9,17
8,10,6
8,11,23
8,12,1
8,13,36
8,14,33
8,15,13
8,16,34
8,17,3
8,18,25
8,19,1
8,20,1
9,1,6
9,2,21
9,3,14
9,4,43
9,5,13
9,6,4
9,7,7
9,8,17
9,9,0
9,10,5
9,11,22
9,12,1
9,13,32
9,14,30
9,15,13
9,16,25
9,17,3
9,18,23
9,19,1
9,20,1
10,1,5
10,2,14
10,3,5
10,4,37
10,5,9
10,6,3
10,7,3
10,8,6
10,9,5
10,10,0
10,11,13
10,12,1
10,13,21
10,14,12
10,15,6
10,16,12
10,17,3
10,18,11
10,19,1
10,20,1
11,1,29
11,2,66
11,3,18
11,4,163
11,5,52
11,6,11
11,7,13
11,8,23
11,9,22
11,10,13
11,11,0
11,12,6
11,13,73
11,14,43
11,15,20
11,16,63
11,17,12
11,18,50
11,19,4
11,20,4
12,1,4
12,2,8
12,3,0
12,4,12
12,5,7
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,6
12,12,0
12,13,0
12,14,2
12,15,1
12,16,8
12,17,0
12,18,3
12,19,0
12,20,0
13,1,14
13,2,46
13,3,42
13,4,275
13,5,18
13,6,16
13,7,18
13,8,36
13,9,32
13,10,21
13,11,73
13,12,0
13,13,0
13,14,64
13,15,34
13,16,22
13,17,39
13,18,82
13,19,13
13,20,13
14,1,11
14,2,58
14,3,26
14,4,91
14,5,33
14,6,9
14,7,12
14,8,33
14,9,30
14,10,12
14,11,43
14,12,2
14,13,64
14,14,0
14,15,28
14,16,65
14,17,3
14,18,46
14,19,1
14,20,1
15,1,6
15,2,20
15,3,12
15,4,48
15,5,14
15,6,4
15,7,5
15,8,13
15,9,13
15,10,6
15,11,20
15,12,1
15,13,34
15,14,28
15,15,0
15,16,22
15,17,3
15,18,17
15,19,1
15,20,1
16,1,39
16,2,95
16,3,17
16,4,117
16,5,64
16,6,14
16,7,14
16,8,34
16,9,25
16,10,12
16,11,63
16,12,8
16,13,22
16,14,65
16,15,22
16,16,0
16,17,0
16,18,52
16,19,0
16,20,0
,1,3
17,2,6
17,3,6
17,4,54
17,5,0
17,6,3
17,7,3
17,8,3
17,9,3
17,10,3
17,11,12
17,12,0
17,13,39
17,14,3
17,15,3
17,16,0
17,17,0
17,18,15
17,19,3
17,20,3
18,1,17
18,2,57
18,3,23
18,4,141
18,5,28
18,6,13
18,7,14
18,8,25
18,9,23
18,10,11
18,11,50
18,12,3
18,13,82
18,14,46
18,15,17
18,16,52
18,17,15
18,18,0
18,19,5
18,20,5
19,1,1
19,2,2
19,3,2
19,4,18
19,5,0
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
19,11,4
19,12,0
19,13,13
19,14,1
19,15,1
19,16,0
19,17,3
19,18,5
19,19,0
19,20,1
20,1,1
20,2,2
20,3,2
20,4,18
20,5,0
20,6,1
20,7,1
20,8,1
20,9,1
20,10,1
20,11,4
20,12,0
20,13,13
20,14,1
20,15,1
20,16,0
20,17,3
20,18,5
20,19,1
20,20,0